codigo;descripcion;precio;bonif;bonif2;caja1;caja2;costo;utilidad;pl;iva;dolar;flete;rubro;tarjeta
07.63.17.65;TRANSICION HEMBRA SI-GAS     32x1  ;459.33;40;0;9;9;306.22;1.5;446.8;21;55.01;14;-;23
07.63.27.04;CODO 45* SI-GAS ACERO-POLIET. 20 mm;265.72;40;0;9;9;177.15;1.5;258.47;21;31.82;14;-;23
07.63.27.05;CODO 45* SI-GAS ACERO-POLIET. 25 mm;310.72;40;0;9;9;207.15;1.5;302.24;21;37.21;14;-;23
07.63.27.06;CODO 45* SI-GAS ACERO-POLIET. 32 mm;382.56;40;0;9;9;255.04;1.5;372.12;21;45.82;14;-;23
07.63.31.04;TAPA SI-GAS ACERO-POLIETILENO 20 mm;122.99;40;0;9;9;81.99;1.5;119.63;21;14.75;14;-;23
07.63.31.05;TAPA SI-GAS ACERO-POLIETILENO 25 mm;144.96;40;0;9;9;96.64;1.5;141;21;17.42;14;-;23
07.63.31.06;TAPA SI-GAS ACERO-POLIETILENO 32 mm;154.38;40;0;9;9;102.92;1.5;150.17;21;18.49;14;-;23
07.63.43.43;CODO C/ROSCA HEM.SI-GAS AC-P.20x1/2;364.92;40;0;9;9;243.28;1.5;354.96;21;43.7;14;-;23
07.63.43.53;CODO C/ROSCA HEM.SI-GAS AC-P.25x1/2;408.32;40;0;9;9;272.21;1.5;397.18;21;48.9;14;-;23
07.63.43.54;CODO C/ROSCA HEM.SI-GAS AC-P.25x3/4;533.38;40;0;9;9;355.59;1.5;518.83;21;63.88;14;-;23
07.63.43.64;CODO C/ROSCA HEM.SI-GAS AC-P.32x3/4;506.06;40;0;9;9;337.37;1.5;492.25;21;60.61;14;-;23
07.63.43.65;CODO C/ROSCA HEM.SI-GAS AC-P.32x1  ;618.16;40;0;9;9;412.11;1.5;601.29;21;74.03;14;-;23
07.63.61.04;BOQUILLA P/MONTURA REP.SI-GAS 20 mm;1915.75;40;0;9;9;1277.16;1.5;1863.47;21;229.43;14;-;23
07.63.61.05;BOQUILLA P/MONTURA REP.SI-GAS 25 mm;1986.7;40;0;9;9;1324.47;1.5;1932.49;21;237.93;14;-;23
07.63.61.06;BOQUILLA P/MONTURA REP.SI-GAS 32 mm;2057.66;40;0;9;9;1371.77;1.5;2001.51;21;246.43;14;-;23
07.63.63.33;MONTURAS DERIV.EPOXI SI-GAS 1/2x1/2;770.69;40;0;9;9;513.79;1.5;749.66;21;92.3;14;-;23
07.63.63.43;MONTURAS DERIV.EPOXI SI-GAS 3/4x1/2;770.69;40;0;9;9;513.79;1.5;749.66;21;92.3;14;-;23
07.63.63.44;MONTURAS DERIV.EPOXI SI-GAS 3/4x3/4;770.69;40;0;9;9;513.79;1.5;749.66;21;92.3;14;-;23
07.63.63.53;MONTURAS DERIV.EPOXI SI-GAS 1  x1/2;770.69;40;0;9;9;513.79;1.5;749.66;21;92.3;14;-;23
07.63.63.54;MONTURAS DERIV.EPOXI SI-GAS 1  x3/4;770.69;40;0;9;9;513.79;1.5;749.66;21;92.3;14;-;23
07.63.65.01;REGULADOR A6.C/FLEXIBLE CTO. O LGO.;3550.69;40;0;9;9;2367.13;1.5;3453.8;21;425.23;14;-;23
07.63.65.02;REGULADOR A6.C/FLEXIBLE RIGIDO ....;3550.84;40;0;9;9;2367.23;1.5;3453.95;21;425.25;14;-;23
07.63.65.11;REGULADOR C6. PROPANO RIGIDO   ....;7845.68;40;0;9;9;5230.45;1.5;7631.59;21;939.6;14;-;23
07.63.65.21;REGULADOR B10 CON FLEXIBLE CORTO...;8029.46;40;0;9;9;5352.98;1.5;7810.36;21;961.61;14;-;23
07.63.65.22;REGULADOR B10 CON FLEXIBLE LARGO...;2445.73;40;0;9;9;1630.49;1.5;2378.99;21;292.9;14;-;23
07.63.71.04;LLAVE P/ESFERIC.SI-GAS AC-POL.20 mm;2130.15;40;0;9;9;1420.1;1.5;2072.02;21;255.11;14;-;23
07.63.71.05;LLAVE P/ESFERIC.SI-GAS AC-POL.25 mm;2130.15;40;0;9;9;1420.1;1.5;2072.02;21;255.11;14;-;23
07.63.72.45;CORTATUBO       SI-GAS AC-POL.20x32;6232.86;40;0;9;9;4616.93;1.35;6736.42;21;829.94;14;-;23
07.63.72.90;CINTA ALUMINIO  SI-GAS 48mm X 40 mt;1567.52;40;0;9;9;1045.02;1.5;1524.75;21;187.73;14;-;23
07.63.73.04;MONTURA REPARACION SI-GAS     20 mm;104.74;40;0;9;9;69.83;1.5;101.88;21;12.57;14;-;23
07.63.73.05;MONTURA REPARACION SI-GAS     25 mm;104.74;40;0;9;9;69.83;1.5;101.88;21;12.57;14;-;23
07.63.73.06;MONTURA REPARACION SI-GAS     32 mm;104.74;40;0;9;9;69.83;1.5;101.88;21;12.57;14;-;23
07.63.74.45;ACC.TRASNSIC.C/VAINA SI-GAS  3/4x25;1899.77;40;0;9;9;1266.51;1.5;1847.93;21;227.52;14;-;23
07.63.74.46;ACC.TRASNSIC.C/VAINA SI-GAS  DEMA..;1686.87;40;0;9;9;1124.58;1.5;1640.84;21;202.02;14;-;23
07.63.74.47;ACOPLE TRASNSICION   SI-GAS  35.18 ;1411.68;40;0;9;9;941.12;1.5;1373.16;21;169.06;14;-;23
07.63.74.48;ADAPTADOR P/CONEX.RIGIDA SI-GAS 3/4;1393.74;40;0;9;9;929.16;1.5;1355.71;21;166.92;14;-;23
07.63.74.49;ADAPTAD.PILAR ANT-NVO. SI-GAS 15.42;500.93;40;0;9;9;333.95;1.5;487.26;21;59.99;14;-;23
07.63.74.50;ADAPT.MED.NVO. SI-GAS 1.1/4Mx1.1/8H;416.59;40;0;9;9;277.73;1.5;405.22;21;49.89;14;-;23
07.63.74.51;ADAPTADOR P/REGULADOR SI-GAS  22.17;1170.06;40;0;9;9;780.04;1.5;1138.13;21;140.13;14;-;23
07.63.74.52;CONEXION DIELECTRICA  SI-GAS  1.1/4;591.42;40;0;9;9;394.28;1.5;575.28;21;70.83;14;-;23
07.63.74.53;DOBLE GRIPER          SI-GAS  .....;936.28;40;0;9;9;624.19;1.5;910.73;21;112.13;14;-;23
07.63.74.54;FLEXIBLE CORTO        SI-GAS  .....;1393.74;40;0;9;9;929.16;1.5;1355.71;21;166.92;14;-;23
07.63.74.55;FLEXIBLE LARGO        SI-GAS  .....;1648.61;40;0;9;9;1099.07;1.5;1603.62;21;197.44;14;-;23
07.63.74.57;JGOS.VAINAS PVC.SI-GAS TRM.RCTO-CVO;497.46;40;0;9;9;331.64;1.5;483.89;21;59.58;14;-;23
07.63.74.58;MALLA DE ADVERTENCIA ANCHO 300 mm. ;68.56;40;0;9;9;45.71;1.5;66.69;21;8.21;14;-;23
51.33.00.39;TUERCA SOLA 5/32 P/TORN.TAPA F*CTO*;11.48;40;0;9;9;7.66;1.5;11.17;21;1.39;14;-;23
07.63.74.60;PIPETA SISTEMA SI-GAS   ...........;1874.05;40;0;9;9;1249.37;1.5;1822.91;21;224.44;14;-;23
07.63.74.61;TUBO POLIETILENO POLITHERM    25 mm;158.89;40;0;9;9;105.92;1.5;154.55;21;19.05;14;-;23
07.63.74.62;VALVULA ESFERICA 4 BAR DEMA     3/4;1914.86;40;0;9;9;1276.57;1.5;1862.61;21;229.32;14;-;23
09.70.33.93;ENV.FERR.AMARILLO TRIANGULO x 15 Kg;9072.88;40;0;9;9;6048.58;1.5;8825.3;21;1086.57;14;-;23
01.21.18.03;LLAVES PVC.LAVAT.MONOCOMANDO BLANCA;1135.83;40;0;0;0;946.52;1.2;1143.64;21;153.08;14;MILESSI;23
01.21.21.03;LLAVES DOBLE P/LAVADER.PLAST.BLANCA;370.79;40;0;9;9;259.3;1.43;378.33;21;43.47;14;-;23
01.55.00.11;LLUVIA ARTIC.C/BZO.COMPL.PLAST.CRMO;1116.98;40;0;9;9;744.65;1.5;1086.5;21;133.77;14;-;23
01.88.10.65;TOALL.BARRAL FIJO P/DISCAP.60ct.BCO;2453.09;40;0;9;9;1886.99;1.3;2753.25;21;293.78;14;-;23
09.37.36.25;ROLLOS MEMBR.ASF.ALUM.NO CRACK N*3M;3782.11;40;0;9;9;3151.76;1.2;4598.63;21;452.95;14;-;23
09.37.36.35;ROLLOS MEMBR.ASF.ALUM.NO CRACK N*4M;4304.19;40;0;9;9;3586.82;1.2;5233.42;21;515.47;14;-;23
33.12.57.03;CONEXION BRIDADAS COM.PPM. 13 mm.JP;179.68;40;0;9;9;119.79;1.5;174.78;21;21.47;14;-;23
33.12.57.04;CONEXION BRIDADAS COM.PPM. 19 mm.JP;204.47;40;0;9;9;136.31;1.5;198.89;21;24.46;14;-;23
99.10.34.02;3404 CURVA 45¼ 110 3,2 LARGA CONCOR;351.47;27;0;0;0;234.31;1.5;281.56;0;103.68;14;-;23
99.10.34.03;3405 CODO C/ACOM.110 MH CONCOR;410.49;27;0;0;0;273.66;1.5;328.84;0;121.09;14;-;23
47.01.14.01;BACHA APOYO RECTANGULAR 475x375x13 ;10628.99;40;0;9;9;7085.99;1.5;10338.95;21;3462.21;14;-;23
33.35.06.07;SOPAPA PVC ACERO INOX.40 mm  ERREDE;214.04;40;0;10;10;142.69;1.5;235.58;21;71.35;3;-;23
33.35.06.08;SOPAPA PVC ACERO INOX.50 mm  ERREDE;227.02;40;0;10;10;151.35;1.5;249.87;21;75.67;3;-;23
80.00.00.02;"ALICATE CORTE OBLICUO 8"" ";968.46;28;0;0;0;645.6413;1.5;690;14;250.9;14;-;23
47.10.33.79;MTS.CER.PISO MURANO 33 x 33 cm GRIS;741.2;40;0;9;9;494.13;1.5;720.97;21;241.43;14;-;23
51.03.00.43;DESCAR.PLAS.FLEX.ACC.SUP.CAPEA.SIML;1150.73;40;0;9;9;817.86;1.407;1193.31;21;146.96;14;-;23
05.07.01.11;CANILLA P/MOVIL P/PARED     COZUMEL;1719.08;40;0;9;9;1074.43;1.6;1567.66;21;180.2;14;GUIDOLIFLORIO;23
61.01.61.01;JUEGO BA„O 2 LLAVE Y TRASF.PAMPA FV;8338.7;40;0;9;9;6414.39;1.3;9359.03;21;2836.29;14;-;23
70.03.95.20;CABALLETE PESADO 0.85 x 1.3 x 2  mt;7403.47;40;0;9;9;5484.05;1.35;8001.61;21;2682.42;14;-;23
80.10.00.05;CONEXIîN LAVARROPA ESF.1/2 GINYPLAS;543.83;31;0;0;-7;362.5543;1.5;356;21;8.42;14;lista setiembre 19;23
47.10.15.01;MTS.CER.CORT.MURETE CRAYON 45 x 30 ;867.17;40;0;9;9;693.74;1.25;1012.21;21;306.42;14;-;23
48.10.15.01;RETIRA.CER.CORT.MURETE CRAYON 45x30;1040.61;40;0;9;9;693.74;1.5;1012.21;21;338.96;14;-;23
85.40.02.71;ZAPATILLA 3MTS ECO  NO HAY;1.06;25;0;9;9;0.708;1.5;1;0;106;14;PP310;23
01.07.19.01;ASIENTO C/TAPA DISCAPAC.ESPACIO FER;7992.52;40;0;9;9;5920.39;1.35;8638.25;21;2611.93;14;-;23
80.00.00.03;ARCO SIERRA FIJO C/HOJA  MANGO PLASTICO  - NEON -;498.55;28;0;0;0;332.3649;1.5;355.2;14;129.16;14;-;23
80.00.01.50;BARRAL MADERA COMPLETO x 1.40M;663.61;28;0;0;0;442.4046;1.5;472.8;14;171.92;14;-;23
47.01.21.01;MINGITORIO URITO   ROCA  BLANCO 1er;12820.22;40;0;9;9;8546.81;1.5;12470.39;21;1535.36;14;-;23
88.60.00.11;MASILLA ZEOCAR x 1 kilo           Masilla plastica;484.79;50;0;0;0;359.1;1.35;630;0;11.43;14;Macias lista abril 20;23
72.52.61.01;AEROSOL ANTIOXIDO AL CROMATO 240 cc;314.95;40;0;9;9;262.46;1.2;382.95;21;128.03;14;-;23
47.45.01.28;PASTINAS KLAUKOL COL.CAOBA   x 1 Kg;121.4;40;0;9;9;89.93;1.35;131.21;21;14.57;14;-;23
99.10.13.39;1324 GRASA GRAFITADA X 40GR.;71.13;27;0;0;0;47.42;1.5;56.98;0;20.98;14;-;23
99.10.36.31;3632 ROSCA CON TUERCA 1/2X3/4 POLIMEX;25.03;27;0;0;0;12.52;2;15.04;0;5.53;14;-;23
99.10.36.32;3633 CABEZAL P/CANILLAS BRONCE 1;1070.52;27;0;0;0;713.68;1.5;857.58;0;315.79;14;-;23
99.10.36.33;3634 CABEZAL P/CANILLAS CROMO 1;1153.1;27;0;0;0;768.74;1.5;923.74;0;340.15;14;-;23
99.10.36.34;3635 AEROSOL ROJO METALIZADO;605.43;27;0;0;0;403.62;1.5;485;0;178.59;14;-;23
99.10.36.35;3636 CAJA PVC RECTANGULAR;29.34;27;0;0;0;19.56;1.5;23.5;0;8.65;14;-;23
70.20.12.30;SELLADOR METAL CANALETA ZING. 300Gr;726.19;40;0;9;9;605.16;1.2;882.97;21;267.97;14;-;23
85.40.03.57;COLA VINILICA 500 GR;268.67;30;0;0;0;179.1121;1.5;224.4512;0;79.25;14;-;23
88.11.00.01;LAMPARA HALOGENA  60 W;75.24;45;0;0;0;50.16;1.5;80;0;1.16;14;DANIEL COD 89             ;23
80.00.01.51;BARRAL MADERA COMPLETO x 1.60M;714.14;28;0;0;0;476.0903;1.5;508.8;14;185.01;14;-;23
80.00.00.11;ACEITE EN AEROSOL ACEITODO  RK 2000  x 220 cc;341.45;28;0;0;0;213.408;1.6;260;0;2.63;14;$171- 01/06/20;23
70.17.45.40;PINCELETA GRIS STANDAR N*  40 .....;332.63;40;0;9;9;277.19;1.2;404.44;21;39.84;14;DISANCO $ 56 -07/11/17 - CODIGO 467;23
47.10.13.53;MTS.CORT.TI.VEREDA AT.TERRACO.30x30;699.33;40;0;9;9;559.47;1.25;816.3;21;83.75;14;ceramicas;23
80.00.01.60;BUSCAPOLO CHICO ;131.17;28;0;0;0;80.4712;1.63;86;14;3.17;14;Litoral pag 39 -Mayo/19;23
85.40.03.74;CABLE 2 X 6MM TIPO TALLER   EL;257.52;30;0;0;0;171.6787;1.5;215.1362;0;11.2;14;MERCADOLIBRE 05/11/18;23
51.71.90.60;BIODIGESTOR ROTOPLAST x  600 LITROS;48901.52;40;0;9;9;36223.35;1.35;52852.35;21;15980.89;14;-;23
85.40.00.15;CODIGO LIBRE;4.59;30;0;0;0;2.2942;2;2.875;0;0.1;14;TATA $ 6- 24/08/19;23
80.00.00.04;ACIDO MURIATICO - DEOXI-M - LIMPIADOR-CAUCHET   AMARILLO;258.26;28;0;0;0;172.171;1.5;184;14;66.91;14;-;23
80.00.00.10;ACEITEX MULTIFUNCION RK3000 x 440 cm3;551.58;28;0;0;0;393.984;1.4;480;0;6.57;14;$240 pag 45;23
47.05.12.56;COLUMNA FLORENC-ANDINA DORADO  FERR;3858.58;40;0;10;10;2572.39;1.5;4246.95;21;1286.19;3;-;0
47.10.35.51;MTS.PORC.CLAS.ESM.35x35 MOODS HUESO;1643.59;40;0;9;9;1314.87;1.25;1918.49;21;196.84;14;CERAMICOS;23
47.11.13.15;GDA.ESMALT.RULO AZUL         7x31.5;189.52;40;0;9;9;151.62;1.25;221.22;21;22.75;14;GUIDOLI;23
09.80.46.15;POXI.FASTIX P/MOTOR. GRA.100g.100ml;845.55;40;0;9;9;563.7;1.5;822.48;21;249.42;14;-;23
09.80.46.07;POXI.FASTIX P/MOTORES CHIC.25g.25ml;436.93;40;0;9;9;291.29;1.5;425.01;21;128.89;14;-;23
80.00.12.46;PINZA  PICO DE LORO c / AISLANTE 10 Pulg.   ROTWEILER      LLAVE;919.3;37;0;0;0;574.56;1.6;800;0;9.2;14;-;23
80.00.12.48;PISTOLA PARA SILICONA GRANDE - ELECTRICA  -pistola encolar;982.5;28;0;0;0;654.9984;1.5;700;14;254.53;14;mercadolibre;23
80.00.12.47;PISTOLA APLIC SELLADOR ADHESIVO x 300 AMARILLA- Litor;653.95;28;0;0;0;503.0388;1.3;537.6;14;195.21;14;-;23
80.00.03.30;CARRETEL PLASTICO PARA BORDEADORA ESTANDAR;248.9;28;0;0;0;177.7853;1.4;190;14;6.93;14;litoral $ 422- lista pag ;23
51.71.01.65;RESISTENCIA CALEFON ELEC.SOLA ACERO;314.14;40;0;9;9;261.78;1.2;381.96;21;45.4;14;LITORAL;23
51.75.02.06;CONJUNTO.ACC.METALICO BANO 6 PIEZAS;8120.03;40;0;9;9;5413.35;1.5;7898.45;21;972.46;14;-;23
47.45.02.38;PAST.KLAUK.ALT.PERF.FLUIDO SIENA 1K;422.72;40;0;9;9;313.12;1.35;456.87;21;50.56;14;-;23
47.01.21.11;MINGITORIO MINI A/SUP. BLANCO 1  er;12820.22;40;0;9;9;8546.81;1.5;12470.39;21;1535.36;14;-;23
01.88.20.01;TOALLERO BARRAL REBATIBLE BCO.60 ct;2830.49;40;0;9;9;1886.99;1.5;2753.25;21;338.98;14;-;23
61.03.13.54;CANILLAS MANGAS    FV   19 mm. CMO ;3245.36;40;0;9;9;2318.12;1.4;3382.29;21;416.61;14;-;23
61.76.01.03;VALVULA ESF.BCE.HH PAS.TOT.13 mm.FV;621.23;40;0;9;9;443.74;1.4;647.44;21;79.75;14;-;23
70.20.22.24;BOLSA 10 ROLLOS PIOLIN ALGODON N*24;1298.8;40;0;9;9;865.87;1.5;1263.36;21;383.13;14;-;23
99.10.08.78;868 REJA ALUMINIO C/MARCO 10X10;453.85;27;0;0;0;137.53;3.3;165.26;0;7.54;14;-;23
99.10.38.33;3833PEGAMENTO UHU SUPER GLUE X 3 GRS;50.51;27;0;0;0;33.67;1.5;44.78;0;16.51;3;-;23
99.10.38.40;3839 LLAVE DE PASO FF ESFERICA 11/2;9784.1;27;0;0;0;6522.73;1.5;7837.94;0;2886.17;14;-;23
99.10.38.41;3840 FICHA MACHO 3P 10A;139.41;27;0;0;0;92.94;1.5;111.68;0;41.12;14;-;23
61.76.01.04;VALVULA ESF.BCE.HH PAS.TOT.19 mm.FV;908.08;40;0;9;9;648.63;1.4;946.39;21;116.57;14;-;23
61.76.01.05;VALVULA ESF.BCE.HH PAS.TOT.25 mm.FV;1460.45;40;0;9;9;1043.18;1.4;1522.07;21;187.48;14;-;23
51.53.00.30;CUERPO SOLO PARA FLOTANTE BCE....SA;569.54;40;0;9;9;379.69;1.5;554;21;68.21;14;-;23
72.11.60.02;ESM.CONV.INSTAN.x 3.6 Lts.BERMELLON;3948.51;40;0;9;9;3290.43;1.2;4800.96;21;532.14;14;-;23
51.21.00.15;GANCHO COBRE P/BOYA TRIPLE REG. .ID;97.94;40;0;9;9;65.3;1.5;95.27;21;11.7;14;-;23
47.61.33.03;MTS.CER.TM.ARENA 33x33 DUETO    2da;661.19;40;0;9;9;440.79;1.5;643.15;21;79.18;14;-;23
47.10.45.01;MTS.CER.TM.ARENA 45x45 SALINAS 1era;930.76;40;0;9;9;620.51;1.5;905.36;21;111.47;14;-;23
47.10.45.02;MTS.CER.TM.TARACEA 45x45 MIX   1era;651.2;40;0;9;9;520.96;1.25;760.12;21;230.11;14;-;23
09.80.71.77;POXI-MIX EXTERIOR BOLSA GRANDE 5 kg;2071.23;40;0;9;9;1479.45;1.4;2158.62;21;653.38;14;-;23
09.80.72.77;POXI-MIX INTERIOR BOLSA GRANDE 5 kg;2043.05;40;0;9;9;1459.32;1.4;2129.25;21;644.5;14;-;23
80.10.00.27;CANILLA P. MOVIL BAJO PARED PVC BCA  GINYPLAS ;831.06;50;0;0;0;554.04;1.5;972;0;9.23;14;LITORAL  $486 - 08/05/20;23
27.85.07.06;ROSCA D/NIPLE EPOX.12 ct.x 32 mm.EX;275.17;40;0;9;9;183.45;1.5;267.66;21;33.03;14;-;23
39.05.27.06;ROSCA SENCILLA BCE.ROSCADO   32 mm.;2159.12;40;0;9;9;1599.35;1.35;2333.56;21;258.58;14;-;23
05.07.01.31;CANILLAS P/MOVIL PARED INVERT.COZUM;1504.2;40;0;9;9;1074.43;1.4;1567.66;21;167.32;14;-;23
99.12.01.01;"COLECTOR  1""  C/BRIDAS de 5 SALIDAS   PPM ";846.13;35;-25;0;0;564.0862;1.5;609;0;16.96;14;LITORAL $ 60 29/10/18;23
51.26.00.03;TAPA CLICK CIERRE HERMET.TANQUE ROT;1451.69;40;0;9;9;967.8;1.5;1412.08;21;428.23;14;-;23
33.50.07.11;CODOS PVC    C/BASE STAND    100 mm;241.86;40;0;9;9;161.24;1.5;235.26;21;28.9;14;-;23
47.61.33.58;MTS.CER.ARENA.33.5x33.5 TRIVENT.2da;577.02;40;0;9;9;461.62;1.25;673.53;21;69.1;14;-;23
07.91.22.93;ANAFES ENLOZ.BCO.TRES   HORN.A GAS ;4977.69;40;0;9;9;3318.46;1.5;4841.86;21;596.13;14;-;23
